date	Official Number	App Number
20181001	63.4	62.7
20181002	58.0	59.9
20181003	53.3	59.1
20181004	55.7	58.8
20181005	64.2	58.7
20181006	58.8	57.0
20181007	57.9	56.7
20181008	61.8	56.8
20181009	69.3	56.7
20181010	71.2	60.1
20181011	68.7	61.1
20181012	61.8	61.5
20181013	63.0	64.3
20181014	66.9	67.1
20181015	61.7	64.6
20181016	61.8	61.6
20181017	62.8	61.1
20181018	60.8	59.2
20181019	62.1	58.9
20181020	65.1	57.2
20181021	55.6	56.4
20181022	54.4	60.7
20181023	54.4	65.1
20181024	54.8	60.9
20181025	57.9	56.1
20181026	54.6	54.6
20181027	54.4	56.1
20181028	42.5	58.1
20181029	40.9	57.5
20181030	38.6	57.7
20181031	44.2	55.1
20181101	49.6	57.9
20181102	47.2	64.6
20181103	50.1	56.2
20181104	50.1	50.5
20181105	43.5	51.3
20181106	43.8	52.6
20181107	48.9	51.4
20181108	55.5	50.6
20181109	53.7	54.6
20181110	57.7	55.6
20181111	48.5	53.9
20181112	46.8	54.0
20181113	51.1	53.8
20181114	56.8	53.5
20181115	59.7	53.4
20181116	56.5	52.2
20181117	49.6	52.7
20181118	41.5	53.1
20181119	44.3	49.0
20181120	54.0	50.4
20181121	54.1	51.1
20181122	49.4	52.3
20181123	50.0	54.6
20181124	44.0	55.1
20181125	50.3	51.5
20181126	52.1	53.6
20181127	49.6	52.3
20181128	57.2	51.0
20181129	59.1	49.5
20181130	50.6	49.8
20181201	44.3	60.4
20181202	43.9	62.2
20181203	42.1	58.3
20181204	43.9	52.7
20181205	50.2	51.5
20181206	54.2	49.9
20181207	54.6	48.6
20181208	43.4	46.4
20181209	42.2	49.8
20181210	45.0	52.1
20181211	33.8	48.8
20181212	36.8	47.4
20181213	38.6	47.2
20181214	41.9	46.1
20181215	49.6	48.8
20181216	50.2	47.9
20181217	40.6	49.8
20181218	29.1	49.1
20181219	33.7	48.3
20181220	45.8	49.3
20181221	47.4	48.4
20181222	54.4	53.3
20181223	47.8	47.5
20181224	34.9	47.9
20181225	35.9	48.9
20181226	43.6	45.9
20181227	42.9	47.2
20181228	46.2	48.9
20181229	30.8	50.9
20181230	40.8	52.9
20181231	49.8	50.1
20190101	46.3	53.9
20190102	43.2	53.1
20190103	30.3	49.7
20190104	19.2	52.7
20190105	32.1	52.6
20190106	41.2	49.0
20190107	47.0	51.0
20190108	46.0	56.8
20190109	34.7	52.3
20190180	39.4	51.6
20190181	40.4	49.8
20190182	45.4	51.9
20190183	40.7	53.7
20190184	30.4	52.9
20190185	23.9	49.7
20190186	22.6	45.3
20190187	39.8	43.6
20190188	43.2	45.0
20190189	26.3	47.3
20190120	32.8	51.4
20190121	27.4	53.7
20190122	25.0	48.3
20190123	39.4	52.9
20190124	48.7	49.1
20190125	43.0	52.1
20190126	37.1	53.6
20190127	48.2	50.4
20190128	43.7	50.3
20190129	40.1	53.8
20190130	38.0	51.9
20190131	43.5	50.0
20190201	50.4	50.0
20190202	45.8	51.3
20190203	37.5	51.5
20190204	40.8	52.0
20190205	36.5	53.8
20190206	39.1	54.6
20190207	43.2	54.3
20190208	36.5	51.9
20190209	36.5	53.8
20190210	38.3	53.9
20190211	36.9	52.3
20190212	29.7	50.1
20190213	33.1	49.5
20190214	39.6	48.6
20190215	42.3	49.9
20190216	39.7	52.4
20190217	46.0	49.9
20190218	41.2	51.6
20190219	39.8	47.8
20190220	38.1	48.7
20190221	37.1	49.7
20190222	45.5	53.4
20190223	50.6	54.1
20190224	42.7	55.9
20190225	42.6	51.7
20190226	36.9	47.7
20190227	40.9	45.4
20190228	45.9	47.0
20190229	40.7	49.8
20190301	41.3	48.9
20190302	36.8	48.1
20190303	47.6	50.7
20190304	44.2	55.0
20190305	38.5	48.8
20190306	32.9	48.4
20190307	43.3	49.9
20190308	51.2	49.2
20190309	47.8	51.7
20190310	37.2	49.3
20190311	42.9	50.0
20190312	48.8	48.6
20190313	52.6	53.9
20190314	60.5	55.2
20190315	47.2	55.9
20190316	44.7	54.6
20190317	48.2	48.2
20190318	48.2	47.1
20190319	53.1	45.8
20190320	57.8	49.7
20190321	57.5	51.4
20190322	57.3	51.4
20190323	61.7	48.4
20190324	55.8	49.0
20190325	48.4	46.4
20190326	49.8	49.7
20190327	39.6	54.1
20190328	49.7	54.6
20190329	56.8	52.3
20190330	46.5	54.5
20190331	42.2	56.2
20190401	45.3	51.1
20190402	48.1	50.5
20190403	51.2	52.2
20190404	61.0	50.6
20190405	50.7	47.9
20190406	48.0	47.4
20190407	51.1	49.4
20190408	55.7	50.0
20190409	58.3	51.3
20190410	55.0	53.8
20190411	49.0	52.9
20190412	51.7	53.9
20190413	53.1	50.2
20190414	55.2	50.9
20190415	62.3	51.5
20190416	62.9	51.9
20190417	69.3	53.2
20190418	59.0	53.0
20190419	54.1	55.1
20190420	56.5	55.8
20190421	58.2	58.0
20190422	52.4	52.8
20190423	51.6	55.1
20190424	49.3	57.9
20190425	52.5	57.5
20190426	50.5	55.3
20190427	51.9	53.5
20190428	47.4	54.7
20190429	54.1	54.0
