date	Official Number	App Number
20130701	276.667	51
20130831	0	53
20131027	67	111
20131209	56.75	103
20140108	43	75
20140122	110	108
20140130	48	69
20140209	79.5	103
20140212	0	113
20140213	77	103
20140219	67.6	88
20140220	54	93
20140221	196.667	95
20140222	46.1	102
20140224	51	107
20140225	751.111	120
20140226	85	145
20140227	809.167	154
20140228	791.818	137
20140301	687.143	111
20140302	755.714	113
20140303	35.5	115
20140304	33	101
20140305	66.5	110
20140307	35	96
20140308	418.571	83
20140310	70.5	81
20140311	24.2	79
20140312	37	94
20140313	19	80
20140314	39.4	78
20140315	387.778	79
20140316	0	87
20140320	66.4	99
20140321	27.5	90
20140322	0	104
20140325	25.5	97
20140326	33.3	80
20140327	452.727	82
20140329	256.667	84
20140331	22	84
20140401	59.75	72
20140402	0	86
20140416	0	141
20140501	556.667	59
20140512	78.75	103
20140516	76.6	89
20140601	47.375	44
20140604	332.941	44
20140605	424.706	60
20140606	48	82
20140607	15.75	92
20140608	87.931	98
20140609	872.326	108
20140610	707.931	112
20140611	78	120
20140612	76.05	136
20140613	671.667	126
20140614	69.375	95
20140615	385.833	51
20140616	353.333	58
20140617	60	66
20140618	823.333	83
20140620	67	55
20140621	30.8	64
20140622	374.667	62
20140624	292.222	28
20140625	310.833	38
20140628	22	49
20140629	59	64
20140630	64	91
20140701	811.667	97
20140702	68	105
20140704	108.5	124
20140705	90	140
20140706	87.25	134
20140707	105.5	142
20140708	99.375	132
20140709	0	117
20140710	47.375	116
20140711	960.833	104
20140712	11	86
20140713	11	62
20140717	22	0
20140718	0	11
20140719	0	25
20140720	124.286	25
20140722	186.667	28
20140723	35.5	47
20140726	386.667	42
20140727	493.333	56
20140728	78	79
20140729	75	99
20140730	623.333	88
20140731	91.8	95
20140801	71.2	115
20140802	896.154	115
20140805	38	89
20140806	26	79
20140807	18	86
20140808	235.556	62
20140810	23	43
20140811	0	48
20140813	12.5	55
20140814	250.8	60
20140815	393.333	75
20140816	107.2	76
20140817	57	81
20140821	17.25	84
20140822	11	87
20140823	0	105
20140824	88	104
20140829	43	46
20140901	70.2	65
20140902	0	74
20140905	688.182	78
20140907	88.5	111
20140909	938.333	118
20140911	68.5	108
20140912	72.8	85
20140913	58.25	84
20140915	475.833	63
20140916	0	77
20140917	29	83
20140919	30	53
20140920	55	54
20140922	643.333	68
20140927	0	122
20140930	0	120
20141001	276.667	91
20141002	0	85
20141003	0	79
20141006	22	46
20141011	11	20
20141012	226.667	20
20141013	23.8	28
20141014	184.118	50
20141015	22	60
20141016	16.5	47
20141017	476.667	43
20141018	287.692	41
20141021	0	72
20141023	75	89
20141024	27.5	93
20141025	56.125	92
20141026	0	89
20141028	0	68
20141029	0	62
20141030	12.5	69
20141101	455.556	61
20141103	673.333	76
20141104	0	74
20141106	36	68
20141107	57	72
20141108	109.4	58
20141109	415.294	51
20141110	81.45	47
20141111	31.7	60
20141112	354.167	59
20141113	20	76
20141114	537.826	69
20141115	462.969	75
20141116	112.308	70
20141117	110.465	67
20141118	413.333	52
20141119	0	44
20141120	0	50
20141121	0	51
20141122	0	57
20141123	0	53
20141124	583.846	70
20141125	54.75	79
20141127	0	103
20141128	0	97
20141202	89	85
20141203	78.125	78
20141206	46.75	42
20141207	20.263	39
20141208	472.222	48
20141209	0	47
20141210	0	61
20141211	0	75
20141213	12	95
20141215	0	113
20141216	128.5	119
20141218	67.8	115
20141219	33.5	119
20141220	53	94
20141221	12.2	93
20141227	556.667	62
20141228	44	68
20141229	556.364	64
20141230	15	66
20141231	588.235	65
