date	Official Number	App Number
20130701	27.6667	51
20131027	67	111
20131209	56.75	103
20140108	43	75
20140122	110	108
20140130	48	69
20140209	79.5	103
20140213	77	103
20140219	67.6	88
20140220	54	93
20140221	19.6667	95
20140222	46.1	102
20140224	51	107
20140225	75.1111	120
20140226	85	145
20140227	80.9167	154
20140228	79.1818	137
20140301	68.7143	111
20140302	75.5714	113
20140303	35.5	115
20140304	33	101
20140305	66.5	110
20140307	35	96
20140308	41.8571	83
20140310	70.5	81
20140311	24.2	79
20140312	37	94
20140313	19	80
20140314	39.4	78
20140315	38.7778	79
20140320	66.4	99
20140321	27.5	90
20140325	25.5	97
20140326	33.3	80
20140327	45.2727	82
20140329	25.6667	84
20140331	22	84
20140401	59.75	72
20140501	55.6667	59
20140512	78.75	103
20140516	76.6	89
20140601	47.375	44
20140604	33.2941	44
20140605	42.4706	60
20140606	48	82
20140607	15.75	92
20140608	87.931	98
20140609	87.2326	108
20140610	70.7931	112
20140611	78	120
20140612	76.05	136
20140613	67.1667	126
20140614	69.375	95
20140615	38.5833	51
20140616	35.3333	58
20140617	60	66
20140618	82.3333	83
20140620	67	55
20140621	30.8	64
20140622	37.4667	62
20140624	29.2222	28
20140625	31.0833	38
20140628	22	49
20140629	59	64
20140630	64	91
20140701	81.1667	97
20140702	68	105
20140704	108.5	124
20140705	90	140
20140706	87.25	134
20140707	105.5	142
20140708	99.375	132
20140710	47.375	116
20140711	96.0833	104
20140712	11	86
20140713	11	62
20140717	22	0
20140720	12.4286	25
20140722	18.6667	28
20140723	35.5	47
20140726	38.6667	42
20140727	49.3333	56
20140728	78	79
20140729	75	99
20140730	62.3333	88
20140731	91.8	95
20140801	71.2	115
20140802	89.6154	115
20140805	38	89
20140806	26	79
20140807	18	86
20140808	23.5556	62
20140810	23	43
20140813	12.5	55
20140814	250.8	60
20140815	39.3333	75
20140816	107.2	76
20140817	57	81
20140821	17.25	84
20140822	11	87
20140824	88	104
20140829	43	46
20140901	70.2	65
20140905	68.8182	78
20140907	88.5	111
20140909	93.8333	118
20140911	68.5	108
20140912	72.8	85
20140913	58.25	84
20140915	47.5833	63
20140917	29	83
20140919	30	53
20140920	55	54
20140922	64.3333	68
20141001	27.6667	91
20141006	22	46
20141011	11	20
20141012	22.6667	20
20141013	23.8	28
20141014	18.4118	50
20141015	22	60
20141016	16.5	47
20141017	47.6667	43
20141018	28.7692	41
20141023	75	89
20141024	27.5	93
20141025	56.125	92
20141030	12.5	69
20141101	45.5556	61
20141103	67.3333	76
20141106	36	68
20141107	57	72
20141108	109.4	58
20141109	41.5294	51
20141110	81.45	47
20141111	31.7	60
20141112	35.4167	59
20141113	20	76
20141114	53.7826	69
20141115	46.2969	75
20141116	11.2308	70
20141117	11.0465	67
20141118	41.3333	52
20141124	58.3846	70
20141125	54.75	79
20141202	89	85
20141203	78.125	78
20141206	46.75	42
20141207	2.0263	39
20141208	47.2222	48
20141213	12	95
20141216	128.5	119
20141218	67.8	115
20141219	33.5	119
20141220	53	94
20141221	12.2	93
20141227	55.6667	62
20141228	44	68
20141229	55.6364	64
20141230	15	66
20141231	58.8235	65
